State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,711052,555739,549661,110606,570391,89876,783306,40043,5683,1059944,245,1914,1410,352929,24274,55105
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,278534,224197,186910,46766,194209,39467,304481,14492,2094,361045,118,653,143,129123,6600,17542
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,570413,431664,485129,83629,499792,68966,389410,179116,2406,1077438,268,3222,1038,305557,10736,30955
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,926268,600405,686149,367573,827181,226541,2201663,314159,10605,6799,417,45614,184,393498,13499,41732
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1359829,822647,994171,714371,1179461,529081,3039279,547335,2696,64532,4384,13221,348,485723,9750,45770
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,513854,315489,482236,434338,542983,373591,1701234,48834,22250,427,138,22613,109,120603,2324,15062
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,432607,260700,329754,222829,359785,192798,1133349,79984,1432,3066,84,2795,48,161310,1363,9491
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,783461,404861,696240,506242,741367,461115,2244882,321192,1157,450,157,34010,34,126494,2766,37730
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,943910,536959,647198,423956,694929,376225,2143046,371286,1576,23456,899,5758,18,288723,4179,26106
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,777582,478544,674589,473576,883329,264836,2224839,142427,1978,1468,183,35149,60,373644,6207,24014
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,782399,496402,640572,345636,752768,233440,2073356,235741,1901,20072,285,30850,79,220793,7607,29531
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,371705,213339,314806,211285,361070,165021,1017688,66609,682,11059,144,13455,24,136969,1392,7705
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,514851,306974,456632,346123,656904,145851,1413163,97855,1274,1515,252,25843,136,268172,4941,16560
